Dia,Objetivo,"Nome do conjunto de anúncios","Nome do anúncio",Idade,Gênero,Alcance,Impressões,Frequência,"Tipo de resultado",Resultados,"Valor usado (BRL)","Custo por resultado","CPC (custo por clique no link)","CPM (custo por 1.000 impressões)","Cliques (todos)","CTR (todos)","Início dos relatórios","Término dos relatórios"
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,65+,female,23,28,1.2173913,,,0.97,,,34.64285714,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,45-54,male,43,54,1.25581395,"Conversas por mensagem iniciadas",1,0.89,0.89,0.89,16.48148148,1,1.85185185,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,55-64,female,70,79,1.12857143,,,4.77,,,60.37974684,2,2.53164557,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,55-64,male,13,14,1.07692308,,,1.03,,,73.57142857,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,35-44,unknown,2,2,1,,,0.01,,,5,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",55-64,female,16,22,1.375,,,0.96,,,43.63636364,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",55-64,male,3,4,1.33333333,,,0.11,,,27.5,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,65+,male,2,2,1,,,0.07,,,35,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",65+,male,2,2,1,,,0.05,,,25,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,18-24,female,48,67,1.39583333,,,0.43,,,6.41791045,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,18-24,unknown,1,2,2,,,0.02,,,10,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,25-34,unknown,1,1,1,,,0,,,0,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,18-24,male,20,36,1.8,,,0.24,,,6.66666667,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,45-54,male,38,48,1.26315789,,,1.87,,,38.95833333,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,45-54,female,138,191,1.38405797,,,5.29,,,27.69633508,1,0.52356021,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,55-64,female,85,113,1.32941176,,,3.34,,3.34,29.55752212,1,0.88495575,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,55-64,male,23,29,1.26086957,,,1.13,,,38.96551724,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,35-44,female,424,658,1.55188679,,,19.07,,4.7675,28.98176292,9,1.36778116,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,25-34,male,128,206,1.609375,,,2.88,,,13.98058252,3,1.45631068,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,35-44,male,179,306,1.70949721,,,5.08,,,16.60130719,1,0.32679739,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,25-34,female,234,408,1.74358974,,,5.3,,5.3,12.99019608,4,0.98039216,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,65+,female,67,77,1.14925373,,,3.38,,,43.8961039,1,1.2987013,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,65+,male,11,12,1.09090909,,,0.51,,,42.5,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",45-54,male,22,28,1.27272727,,,0.67,,,23.92857143,2,7.14285714,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,35-44,unknown,1,1,1,,,0.01,,,10,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste A] - [Litoral Norte]",Motion-001,45-54,unknown,1,1,1,,,0.02,,,20,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",35-44,unknown,2,3,1.5,,,0.01,,,3.33333333,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",65+,female,7,8,1.14285714,,,0.13,,,16.25,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",25-34,male,105,136,1.2952381,,,1.27,,1.27,9.33823529,1,0.73529412,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",18-24,female,41,67,1.63414634,,,0.36,,,5.37313433,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",35-44,male,109,166,1.52293578,,,2.74,,,16.5060241,1,0.60240964,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",25-34,female,127,178,1.4015748,,,1.72,,,9.66292135,1,0.56179775,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",18-24,male,43,55,1.27906977,,,0.37,,,6.72727273,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",45-54,female,28,34,1.21428571,,,0.67,,,19.70588235,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",35-44,female,168,223,1.32738095,,,3.74,,3.74,16.77130045,2,0.89686099,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Benditta] - [ Leads] - [Whats] - [IG] - [Metropolitana]","[Video 001] - [Teste A] - [16s] - [Msg Metropolitana]",25-34,unknown,2,2,1,,,0,,,0,0,0,2026-03-09,2026-03-09
2026-03-09,OUTCOME_LEADS,"[Teste B] - [Metropolitana]",Motion-001,25-34,unknown,2,2,1,,,0.01,,,5,0,0,2026-03-09,2026-03-09
